lambda,Size,second_max_cluster_size
0.8585,100.0,519.3680769757135
0.8585,150.0,1281.5588283285522
0.8585,200.0,2283.288283593873
0.8585,250.0,3426.1691212076557
0.8585,300.0,4593.373270870618
0.8585,350.0,5845.975871652349
0.8585,400.0,6982.669410656295
0.8585,450.0,8146.744742895342
0.8585,500.0,9147.53961912582
0.8585,550.0,10120.178096757045
0.8585,600.0,11079.453916201706
0.8585,650.0,12010.307299973156
0.8585,700.0,12809.684197228027
0.8585,750.0,13672.920676695689
0.8585,800.0,14447.601365399698
0.8585,850.0,15131.079451304888
0.8585,900.0,15928.746927259615
0.8585,950.0,16520.070731103893
0.8585,1000.0,17181.036440209522
0.8585,1050.0,17784.884171571157
0.8585,1100.0,18345.18759409182
0.8585,1150.0,18943.26182028741
0.8585,1200.0,19447.604056131044
0.8585,1250.0,19979.80558494539
0.8585,1300.0,20481.826020359826
0.8585,1350.0,20981.00836292884
0.8585,1400.0,21445.48593754254
0.8585,1450.0,22002.79179893962
0.86,100.0,448.153919034861
0.86,150.0,1142.1541421255138
0.86,200.0,2158.822375450693
0.86,250.0,3490.475242782325
0.86,300.0,5054.371097553914
0.86,350.0,6848.803967806968
0.86,400.0,8849.883499847347
0.86,450.0,10952.40125279642
0.86,500.0,13070.650404535429
0.86,550.0,15317.07395495007
0.86,600.0,17601.521435640436
0.86,650.0,19894.759700164763
0.86,700.0,22159.602319325782
0.86,750.0,24436.488968904472
0.86,800.0,26602.56731973849
0.86,850.0,28773.463465091678
0.86,900.0,30753.49818662259
0.86,950.0,32836.38128299741
0.86,1000.0,34605.34608764311
0.86,1050.0,36751.691718558366
0.86,1100.0,38419.503176834114
0.86,1150.0,40260.26214941464
0.86,1200.0,41980.33193847903
0.86,1250.0,43679.61212885861
0.86,1300.0,45364.242310458285
0.86,1350.0,46960.69348123625
0.86,1400.0,48505.0319986084
0.86,1450.0,49856.52101933779
0.8603,100.0,421.3259557132255
0.8603,150.0,1057.074069005448
0.8603,200.0,2033.653486817519
0.8603,250.0,3234.091833135939
0.8603,300.0,4830.580841286302
0.8603,350.0,6692.255225522552
0.8603,400.0,8778.125155279504
0.8603,450.0,11045.54511860017
0.8603,500.0,13685.303477427777
0.8603,550.0,16269.09972943666
0.8603,600.0,19136.31269806176
0.8603,650.0,22061.27063703454
0.8603,700.0,25113.262595476102
0.8603,750.0,28191.18270065961
0.8603,800.0,31290.2897298094
0.8603,850.0,34296.71642066032
0.8603,900.0,37744.82636114313
0.8603,950.0,40779.15805570324
0.8603,1000.0,43850.01673974954
0.8603,1050.0,46588.00024213967
0.8603,1100.0,49749.36938601478
