selected_lambda,box_size,avg_count,group
0.77,1.0,981997.6076,0
0.77,2.0,6487.984,0
0.77,3.0,532.834,0
0.77,7.0,37.8272,0
0.77,5.0,84.6,0
0.77,4.0,165.5968,0
0.77,8.0,28.1808,0
0.77,11.0,13.3396,0
0.77,6.0,53.6012,0
0.77,10.0,16.7836,0
0.77,21.0,1.7912,0
0.77,9.0,21.4928,0
0.77,22.0,1.562,0
0.77,12.0,10.7236,0
0.77,17.0,3.8612,0
0.77,20.0,2.198,0
0.77,18.0,3.1792,0
0.77,19.0,2.5784,0
0.77,27.0,0.6524,0
0.77,13.0,8.702,0
0.77,15.0,5.7792,0
0.77,14.0,6.9476,0
0.77,23.0,1.3012,0
0.77,25.0,0.8956,0
0.77,16.0,4.6964,0
0.77,24.0,1.0532,0
0.77,26.0,0.7572,0
0.77,33.0,0.224,0
0.77,28.0,0.5156,0
0.77,38.0,0.1072,0
0.77,39.0,0.0876,0
0.77,41.0,0.066,0
0.77,36.0,0.1452,0
0.77,32.0,0.2472,0
0.77,30.0,0.3972,0
0.77,31.0,0.3364,0
0.77,29.0,0.4464,0
0.77,37.0,0.1168,0
0.77,44.0,0.0476,0
0.77,52.0,0.0108,0
0.77,42.0,0.0548,0
0.77,54.0,0.0068,0
0.77,34.0,0.1912,0
0.77,48.0,0.0292,0
0.77,45.0,0.0428,0
0.77,35.0,0.154,0
0.77,40.0,0.076,0
0.77,46.0,0.0316,0
0.77,47.0,0.0256,0
0.77,43.0,0.04,0
0.77,63.0,0.0024,0
0.77,61.0,0.0036,0
0.77,60.0,0.0028,0
0.77,56.0,0.0032,0
0.77,49.0,0.022,0
0.77,50.0,0.0208,0
0.77,53.0,0.0108,0
0.77,55.0,0.0048,0
0.77,51.0,0.0156,0
0.77,64.0,0.0028,0
0.77,57.0,0.0028,0
0.77,66.0,0.0016,0
0.77,69.0,0.0016,0
0.77,70.0,0.002,0
0.77,62.0,0.0016,0
0.77,58.0,0.0028,0
0.77,59.0,0.0028,0
0.77,65.0,0.0008,0
0.77,71.0,0.0004,0
0.77,77.0,0.0008,0
0.77,86.0,0.0008,0
0.77,85.0,0.0004,0
0.77,80.0,0.0004,0
0.77,74.0,0.0008,0
0.77,68.0,0.002,0
0.77,79.0,0.0004,0
0.77,82.0,0.0004,0
0.77,83.0,0.0004,0
0.77,78.0,0.0004,0
0.77,67.0,0.002,0
0.77,72.0,0.0004,0
0.81,132.0,0.0428,0
0.81,1.0,937226.028,0
0.81,2.0,11181.22,0
0.81,24.0,24.8372,0
0.81,21.0,32.584,0
0.81,6.0,247.1232,0
0.81,55.0,2.678,0
0.81,13.0,74.1588,0
0.81,10.0,109.7228,0
0.81,3.0,1731.4528,0
0.81,8.0,152.6616,0
0.81,4.0,657.0816,0
0.81,9.0,127.8084,0
0.81,7.0,188.0372,0
0.81,23.0,27.2912,0
0.81,14.0,66.168,0
0.81,26.0,21.0864,0
0.81,22.0,29.798,0
0.81,11.0,95.4368,0
0.81,16.0,53.118,0
0.81,31.0,14.3324,0
0.81,17.0,48.0284,0
0.81,5.0,365.0784,0
0.81,33.0,12.286,0
0.81,50.0,3.7412,0
0.81,12.0,83.9536,0
0.81,25.0,22.8932,0
0.81,20.0,35.954,0
0.81,75.0,0.8144,0
0.81,15.0,59.2888,0
0.81,34.0,11.3604,0
0.81,18.0,43.3896,0
0.81,19.0,39.486,0
0.81,36.0,9.7992,0
0.81,56.0,2.5712,0
0.81,35.0,10.5668,0
0.81,28.0,17.9248,0
0.81,32.0,13.2328,0
0.81,65.0,1.484,0
0.81,68.0,1.2308,0
0.81,71.0,1.054,0
0.81,42.0,6.3784,0
0.81,37.0,9.1556,0
0.81,47.0,4.5168,0
0.81,27.0,19.3904,0
0.81,45.0,5.12,0
0.81,43.0,5.9572,0
0.81,38.0,8.3788,0
0.81,29.0,16.4756,0
0.81,52.0,3.3644,0
0.81,54.0,2.8876,0
0.81,44.0,5.5756,0
0.81,39.0,7.9264,0
0.81,57.0,2.358,0
0.81,30.0,15.2836,0
0.81,41.0,6.7796,0
0.81,100.0,0.196,0
0.81,58.0,2.2744,0
0.81,95.0,0.2748,0
0.81,106.0,0.1436,0
0.81,70.0,1.122,0
0.81,46.0,4.9444,0
0.81,72.0,0.9716,0
0.81,84.0,0.4916,0
0.81,77.0,0.7472,0
0.81,62.0,1.7976,0
0.81,40.0,7.448,0
0.81,86.0,0.4576,0
0.81,122.0,0.0652,0
0.81,74.0,0.9136,0
0.81,76.0,0.7888,0
0.81,110.0,0.1208,0
0.81,48.0,4.2256,0
0.81,49.0,4.0244,0
0.81,69.0,1.1196,0
0.81,92.0,0.3172,0
0.81,61.0,1.892,0
0.81,73.0,0.9064,0
0.81,67.0,1.268,0
0.81,59.0,2.1524,0
0.81,51.0,3.5612,0
0.81,85.0,0.4552,0
0.81,63.0,1.6692,0
0.81,130.0,0.0432,0
0.81,53.0,3.08,0
0.81,60.0,2.0132,0
0.81,80.0,0.628,0
0.81,112.0,0.1128,0
0.81,105.0,0.1488,0
0.81,91.0,0.3484,0
0.81,82.0,0.5596,0
0.81,121.0,0.0748,0
0.81,64.0,1.584,0
0.81,128.0,0.0536,0
0.81,108.0,0.1352,0
0.81,79.0,0.6492,0
0.81,134.0,0.0364,0
0.81,88.0,0.4148,0
0.81,123.0,0.062,0
0.81,66.0,1.372,0
0.81,126.0,0.0516,0
0.81,103.0,0.1768,0
0.81,81.0,0.5752,0
0.81,90.0,0.34,0
0.81,83.0,0.5568,0
0.81,87.0,0.4364,0
0.81,89.0,0.3908,0
0.81,78.0,0.6836,0
0.81,98.0,0.2144,0
0.81,102.0,0.1732,0
0.81,93.0,0.3048,0
0.81,125.0,0.058,0
0.81,129.0,0.0452,0
0.81,101.0,0.1876,0
0.81,94.0,0.2792,0
0.81,113.0,0.1028,0
0.81,116.0,0.102,0
0.81,96.0,0.2676,0
0.81,120.0,0.0752,0
0.81,119.0,0.082,0
0.81,97.0,0.2516,0
0.81,118.0,0.0824,0
0.81,115.0,0.1056,0
0.81,104.0,0.1568,0
0.81,99.0,0.2064,0
0.81,127.0,0.0456,0
0.81,107.0,0.1288,0
0.81,117.0,0.0892,0
0.81,114.0,0.1008,0
0.81,131.0,0.0388,0
0.81,124.0,0.0556,0
0.81,111.0,0.1084,0
0.81,135.0,0.0368,0
0.81,141.0,0.0252,0
0.81,140.0,0.0268,0
0.81,109.0,0.1296,0
0.81,139.0,0.0308,0
0.81,144.0,0.018,0
0.81,167.0,0.0032,0
0.81,149.0,0.0132,0
0.81,180.0,0.0028,0
0.81,142.0,0.022,0
0.81,179.0,0.0028,0
0.81,133.0,0.0336,0
0.81,138.0,0.0272,0
0.81,175.0,0.004,0
0.81,171.0,0.0036,0
0.81,168.0,0.0064,0
0.81,162.0,0.0088,0
0.81,160.0,0.0072,0
0.81,157.0,0.0116,0
0.81,154.0,0.0108,0
0.81,151.0,0.0164,0
0.81,146.0,0.0176,0
0.81,143.0,0.0272,0
0.81,155.0,0.0108,0
0.81,161.0,0.0096,0
0.81,156.0,0.0088,0
0.81,163.0,0.0048,0
0.81,145.0,0.0148,0
0.81,158.0,0.006,0
0.81,136.0,0.0336,0
0.81,137.0,0.0336,0
0.81,148.0,0.014,0
0.81,153.0,0.014,0
0.81,150.0,0.0132,0
0.81,164.0,0.006,0
0.81,176.0,0.0032,0
0.81,147.0,0.02,0
0.81,152.0,0.0084,0
0.81,169.0,0.0084,0
0.81,170.0,0.0036,0
0.81,159.0,0.0072,0
0.81,166.0,0.006,0
0.81,172.0,0.0052,0
0.81,216.0,0.0004,0
0.81,218.0,0.0004,0
0.81,174.0,0.0052,0
0.81,173.0,0.0024,0
0.81,177.0,0.0052,0
0.81,181.0,0.004,0
0.81,205.0,0.0024,0
0.81,214.0,0.0008,0
0.81,210.0,0.002,0
0.81,208.0,0.0008,0
0.81,197.0,0.0012,0
0.81,190.0,0.0036,0
0.81,199.0,0.002,0
0.81,200.0,0.002,0
0.81,186.0,0.0032,0
0.81,165.0,0.0028,0
0.81,178.0,0.0044,0
0.81,196.0,0.0024,0
0.81,193.0,0.0016,0
0.81,183.0,0.0036,0
0.81,203.0,0.0012,0
0.81,204.0,0.0032,0
0.81,201.0,0.002,0
0.81,202.0,0.0016,0
0.81,192.0,0.0012,0
0.81,191.0,0.0024,0
0.81,184.0,0.0016,0
0.81,185.0,0.0024,0
0.81,189.0,0.0024,0
0.81,213.0,0.0008,0
0.81,219.0,0.0008,0
0.81,222.0,0.0008,0
0.81,243.0,0.0004,0
0.81,246.0,0.0004,0
0.81,250.0,0.0004,0
0.81,187.0,0.0024,0
0.81,225.0,0.0004,0
0.81,182.0,0.002,0
0.81,229.0,0.0004,0
0.81,233.0,0.0004,0
0.81,195.0,0.0012,0
0.81,228.0,0.0004,0
0.81,194.0,0.0016,0
0.81,226.0,0.0004,0
0.81,224.0,0.0008,0
0.81,188.0,0.0024,0
0.81,212.0,0.0012,0
0.81,207.0,0.0008,0
0.81,206.0,0.0012,0
0.81,220.0,0.0004,0
0.81,211.0,0.0008,0
0.81,230.0,0.0004,0
0.83,1.0,789966.978,0
0.83,2.0,16945.456,0
0.83,79.0,8.2516,0
0.83,406.0,0.1664,0
0.83,36.0,25.6788,0
0.83,85.0,7.4188,0
0.83,73.0,9.3452,0
0.83,3.0,3100.3408,0
0.83,150.0,2.5448,0
0.83,225.0,0.994,0
0.83,25.0,40.714,0
0.83,38.0,23.9616,0
0.83,8.0,175.7032,0
