Unnamed: 0,lambda,Size,max_cluster_size,second_max_cluster_size,third_max_cluster_size,fourth_max_cluster_size,fifth_max_cluster_size,lambda_group
25,0.855,300.0,4840.9699,2917.5206,2162.8448,1725.3511,1429.2426,0.855
26,0.855,310.0,4744.837583758376,2925.932593259326,2191.1721172117213,1769.2384238423842,1484.7329732973296,0.855
27,0.855,320.0,4842.783356671334,3045.2997599519904,2313.51200240048,1880.963292658532,1576.2195439087818,0.855
28,0.855,330.0,5059.390439043905,3177.121212121212,2400.6466646664667,1949.193219321932,1644.2543254325433,0.855
29,0.855,340.0,5143.878263479044,3304.4647394218264,2505.152645793738,2031.554266279884,1699.5303591077322,0.855
30,0.855,350.0,5070.692546273137,3323.953076538269,2566.133066533266,2109.3376688344174,1791.4380190095048,0.855
31,0.855,360.0,5089.989197839568,3377.898179635927,2609.0874174834967,2152.775055011002,1829.7152430486096,0.855
32,0.855,370.0,5307.521204240848,3458.871174234847,2665.019903980796,2176.681536307261,1861.2225445089016,0.855
33,0.855,380.0,5453.836883688369,3589.142614261426,2780.607560756076,2298.7609760976097,1961.4280428042805,0.855
34,0.855,390.0,5498.752550510102,3649.886777355471,2857.891978395679,2367.970794158832,2021.840968193639,0.855
35,0.855,400.0,5546.513107864719,3709.022613568141,2904.869121472884,2426.519911947168,2083.324294576746,0.855
36,0.855,410.0,5628.695278111244,3802.435274109644,2997.7780112044816,2498.24899959984,2157.4302721088434,0.855
37,0.855,420.0,5828.982294688407,3923.0890267080126,3090.9377813344004,2591.000300090027,2239.1286385915773,0.855
38,0.855,430.0,5912.612022404481,4008.44898979796,3172.384576915383,2664.865373074615,2299.630226045209,0.855
39,0.855,440.0,5900.427342734273,4043.200120012001,3223.320132013201,2720.4546454645465,2356.7685768576857,0.855
40,0.855,450.0,5854.647859143657,4004.3194277711086,3195.4886954781914,2712.771108443377,2362.7610044017606,0.855
41,0.855,460.0,6392.197219721972,4352.454145414541,3460.987898789879,2908.5976597659765,2521.4749474947494,0.855
42,0.855,470.0,6061.856456937081,4208.66299889967,3385.557867360208,2879.909372811844,2518.2339701910573,0.855
43,0.855,480.0,6242.012402480496,4355.772954590918,3502.5620124024804,2971.5292058411683,2589.8462692538506,0.855
44,0.855,490.0,6306.3416341634165,4382.759675967597,3515.1642164216423,2990.018701870187,2624.6918691869187,0.855
45,0.855,500.0,6559.947794779478,4535.24402440244,3639.732373237324,3090.505150515052,2704.7433743374336,0.855
46,0.855,510.0,6458.936268134067,4498.494947473737,3634.671135567784,3105.0605302651325,2727.8052026013006,0.855
47,0.855,520.0,6352.572557255726,4545.721772177218,3701.410341034104,3156.674167416741,2781.7761776177617,0.855
48,0.855,530.0,6722.252650530106,4741.5376075215045,3843.8024604920975,3287.1811362272456,2893.0850170034005,0.855
49,0.855,540.0,6641.053810762152,4715.387377475495,3837.225145029006,3291.1059211842366,2903.937387477496,0.855
50,0.855,550.0,6759.6311,4776.9584,3910.9486,3375.593,2986.4772,0.855
51,0.855,560.0,6622.7869360808245,4737.351605481645,3891.156747024107,3364.959687906372,2986.7923377013103,0.855
52,0.855,570.0,6866.049814944483,4873.123937181154,3995.460738221466,3458.5385615684704,3067.743523056917,0.855
53,0.855,580.0,6914.2862572514505,4964.193938787757,4078.167633526705,3506.4540908181634,3111.0299059811964,0.855
54,0.855,590.0,6788.090718143629,4949.688637727546,4085.498199639928,3530.7818563712744,3142.7718543708743,0.855
55,0.855,600.0,6905.557067120136,5044.901870561168,4172.883865159548,3624.1692507752327,3232.4874462338703,0.855
56,0.855,610.0,7077.4105052526265,5139.009904952476,4247.393596798399,3682.9578789394695,3287.0122061030515,0.855
57,0.855,620.0,6873.180936187237,5005.780356071215,4157.237547509502,3621.2981596319264,3236.8308661732344,0.855
