lambda,max_cluster_size,second_max_cluster_size,third_max_cluster_size,fourth_max_cluster_size,fifth_max_cluster_size,largest_1_dimension,largest_1_dimension_std,largest_2_dimension,largest_2_dimension_std,largest_3_dimension,largest_3_dimension_std,largest_4_dimension,largest_4_dimension_std,largest_5_dimension,largest_5_dimension_std
0.5,94.4887,80.6453,74.3287,70.2052,67.1628,1.1285638139544572,0.020619404008576973,1.0840070945974947,0.01420334802412258,1.064278453755134,0.012374346169468007,1.0464178642970097,0.0097247147113321,1.032169537497727,0.009193049528692853
0.55,67.5716,57.8597,53.3284,50.389,48.2129,1.0380108693754735,0.011625939149373052,1.0056765033047494,0.008723617759348514,0.9857866792195965,0.009360257447531266,0.9769212008480013,0.008520165421466006,0.9699298309939877,0.008777834958025397
0.6000000000000001,55.6618,48.0332,44.4819,42.0832,40.2098,1.012630319586384,0.010879678634499682,0.9816165333771208,0.008442929290594335,0.9599529767918631,0.00919019096536518,0.9544855238661755,0.008183208771000051,0.9508503494953159,0.007983239749682609
0.6500000000000001,35.8898,31.7759,29.5668,27.9688,26.6762,,,,,,,,,,
0.7000000000000002,15.2153,13.2529,12.0454,11.0006,9.9914,,,,,,,,,,
0.7500000000000002,29.4671,24.0398,21.2323,19.249,17.6632,,,,,,,,,,
0.8,90.0724,76.3352,69.5114,65.0314,61.6281,1.300403314865262,0.03237055733102125,1.280848829113684,0.03447762199691384,1.259505650231127,0.034463216480992216,1.254660025518937,0.03392535088334583,1.2474714394919368,0.03473291792226015
0.8000000000000003,89.2954,75.9455,69.1803,64.7513,61.3597,,,,,,,,,,
0.8001,90.1161,76.5227,69.7208,65.286,61.8779,,,,,,,,,,
0.8002,89.144,75.9506,69.3436,64.914,61.5439,,,,,,,,,,
0.8003,90.1463,76.8696,70.0268,65.5897,62.1254,,,,,,,,,,
0.8004,90.421,77.0521,70.4186,65.9242,62.4466,,,,,,,,,,
0.8005,90.6996,77.388,70.6136,66.1663,62.7049,,,,,,,,,,
0.8006,90.4742,77.4389,70.7544,66.2322,62.8375,,,,,,,,,,
0.8007,92.0256,78.2498,71.3577,66.7583,63.2404,,,,,,,,,,
0.8008,91.6437,78.2409,71.3023,66.7388,63.2566,,,,,,,,,,
0.8009,91.3683,78.1045,71.3054,66.7656,63.2639,,,,,,,,,,
