lambda,size_counts
0.873,"{812478.0: 1.0, 1.0: 160403.0, 5.0: 134.0, 4.0: 1987.0, 2.0: 5953.0, 3.0: 1228.0, 9.0: 185.0, 7.0: 40.0, 6.0: 53.0, 15.0: 1.0, 8.0: 15.0, 18.0: 2.0, 10.0: 5.0, 12.0: 1.0, 17.0: 2.0, 13.0: 3.0, 32.0: 2.0, 16.0: 2.0, 14.0: 2.0, 11.0: 1.0, 79.0: 1.0, 25.0: 1.0, 52.0: 1.0, 27.0: 1.0, 24.0: 1.0}"
0.873,"{817956.0: 1.0, 1.0: 155335.0, 5.0: 161.0, 4.0: 1924.0, 2.0: 5876.0, 3.0: 1141.0, 7.0: 34.0, 6.0: 61.0, 9.0: 182.0, 18.0: 2.0, 10.0: 8.0, 12.0: 4.0, 34.0: 1.0, 8.0: 13.0, 16.0: 1.0, 11.0: 3.0, 58.0: 1.0, 14.0: 2.0, 50.0: 1.0, 15.0: 1.0, 13.0: 3.0, 81.0: 1.0, 57.0: 1.0, 32.0: 1.0, 21.0: 1.0, 29.0: 1.0, 30.0: 1.0}"
0.873,"{810085.0: 1.0, 1.0: 162264.0, 4.0: 1877.0, 2.0: 6341.0, 5.0: 155.0, 3.0: 1156.0, 9.0: 179.0, 6.0: 75.0, 7.0: 31.0, 15.0: 3.0, 51.0: 1.0, 91.0: 1.0, 16.0: 2.0, 8.0: 22.0, 11.0: 3.0, 20.0: 1.0, 23.0: 1.0, 12.0: 4.0, 10.0: 4.0, 37.0: 1.0, 21.0: 2.0, 75.0: 1.0, 14.0: 5.0, 49.0: 1.0, 25.0: 1.0, 19.0: 1.0, 13.0: 2.0, 38.0: 1.0}"
0.873,"{810353.0: 1.0, 1.0: 162091.0, 2.0: 6308.0, 4.0: 1876.0, 5.0: 147.0, 3.0: 1206.0, 6.0: 60.0, 9.0: 185.0, 7.0: 29.0, 11.0: 5.0, 54.0: 1.0, 29.0: 1.0, 17.0: 1.0, 8.0: 20.0, 84.0: 1.0, 15.0: 2.0, 19.0: 3.0, 10.0: 8.0, 21.0: 2.0, 14.0: 5.0, 16.0: 1.0, 26.0: 1.0, 12.0: 3.0, 50.0: 1.0, 31.0: 1.0, 18.0: 1.0}"
0.873,"{818314.0: 1.0, 1.0: 155256.0, 4.0: 1902.0, 2.0: 5880.0, 3.0: 1136.0, 5.0: 175.0, 7.0: 29.0, 6.0: 64.0, 9.0: 183.0, 17.0: 2.0, 8.0: 10.0, 14.0: 3.0, 10.0: 7.0, 23.0: 2.0, 11.0: 5.0, 58.0: 1.0, 13.0: 2.0, 49.0: 1.0, 12.0: 2.0, 15.0: 1.0, 19.0: 1.0, 27.0: 1.0}"
0.873,"{801179.0: 1.0, 1.0: 170447.0, 4.0: 1930.0, 2.0: 6506.0, 9.0: 170.0, 3.0: 1274.0, 6.0: 75.0, 5.0: 155.0, 8.0: 29.0, 7.0: 33.0, 10.0: 12.0, 13.0: 3.0, 21.0: 3.0, 40.0: 1.0, 15.0: 4.0, 51.0: 1.0, 19.0: 1.0, 12.0: 3.0, 11.0: 2.0, 47.0: 1.0, 44.0: 1.0, 17.0: 1.0, 30.0: 1.0, 14.0: 1.0}"
0.873,"{810518.0: 1.0, 1.0: 161959.0, 2.0: 6325.0, 4.0: 1903.0, 3.0: 1162.0, 9.0: 181.0, 6.0: 60.0, 5.0: 147.0, 11.0: 5.0, 14.0: 2.0, 7.0: 28.0, 10.0: 5.0, 28.0: 1.0, 13.0: 4.0, 93.0: 1.0, 19.0: 3.0, 8.0: 24.0, 12.0: 2.0, 18.0: 2.0, 25.0: 1.0, 31.0: 1.0, 26.0: 1.0, 47.0: 1.0, 20.0: 1.0, 17.0: 1.0, 15.0: 2.0, 23.0: 1.0, 21.0: 1.0}"
0.873,"{818434.0: 1.0, 1.0: 155163.0, 7.0: 29.0, 2.0: 5828.0, 4.0: 1901.0, 6.0: 69.0, 5.0: 159.0, 3.0: 1161.0, 9.0: 183.0, 8.0: 10.0, 16.0: 2.0, 10.0: 10.0, 22.0: 2.0, 20.0: 1.0, 12.0: 3.0, 11.0: 3.0, 15.0: 2.0, 13.0: 2.0, 49.0: 1.0, 26.0: 1.0, 14.0: 1.0, 34.0: 1.0, 21.0: 1.0, 25.0: 1.0, 31.0: 1.0}"
0.873,"{810423.0: 1.0, 1.0: 162130.0, 4.0: 1930.0, 7.0: 25.0, 2.0: 6252.0, 5.0: 149.0, 3.0: 1135.0, 9.0: 185.0, 12.0: 3.0, 10.0: 9.0, 6.0: 53.0, 25.0: 1.0, 99.0: 1.0, 8.0: 22.0, 14.0: 2.0, 15.0: 3.0, 37.0: 1.0, 18.0: 1.0, 20.0: 1.0, 31.0: 1.0, 16.0: 1.0, 11.0: 3.0, 24.0: 2.0, 41.0: 1.0, 50.0: 1.0, 19.0: 2.0, 21.0: 1.0, 29.0: 1.0, 34.0: 1.0}"
0.873,"{818186.0: 1.0, 1.0: 155181.0, 4.0: 1895.0, 2.0: 5919.0, 7.0: 34.0, 8.0: 25.0, 5.0: 159.0, 3.0: 1130.0, 6.0: 69.0, 9.0: 187.0, 10.0: 6.0, 15.0: 2.0, 16.0: 1.0, 13.0: 3.0, 19.0: 1.0, 12.0: 4.0, 50.0: 1.0, 39.0: 1.0, 31.0: 1.0, 20.0: 1.0, 17.0: 1.0, 22.0: 1.0, 11.0: 4.0, 26.0: 1.0, 34.0: 1.0}"
